DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -75.0473
2.930, -72.9299
4.395, -82.9902
5.859, -90.7441
7.324, -81.5054
8.789, -92.5215
10.254, -77.5720
11.719, -70.1057
13.184, -58.7578
14.648, -68.8721
16.113, -75.5089
17.578, -74.4393
19.043, -85.3418
20.508, -80.0510
21.973, -71.7279
23.438, -83.5522
24.902, -67.3803
26.367, -66.3596
27.832, -60.6735
29.297, -58.6108
30.762, -50.6970
32.227, -43.2214
33.691, -40.1315
35.156, -47.9460
36.621, -54.2966
38.086, -57.0562
39.551, -54.4061
41.016, -56.9922
42.480, -57.1519
43.945, -56.5008
45.410, -57.1405
46.875, -57.1858
48.340, -65.1948
49.805, -58.6536
51.270, -63.1531
52.734, -62.0750
54.199, -64.8461
55.664, -65.0548
57.129, -65.0010
58.594, -69.5372
60.059, -54.9396
61.523, -53.6415
62.988, -50.1335
64.453, -45.3974
65.918, -44.7603
67.383, -40.9570
68.848, -38.1173
70.313, -36.1496
71.777, -34.5019
73.242, -33.4617
74.707, -32.2818
76.172, -32.1561
77.637, -32.0146
79.102, -32.1935
80.566, -32.5904
82.031, -33.0577
83.496, -33.7211
84.961, -34.3316
86.426, -35.2292
87.891, -35.2767
89.355, -36.2560
90.820, -36.6105
92.285, -36.9373
93.750, -37.6860
95.215, -37.8327
96.680, -37.7754
98.145, -38.2260
99.609, -38.7034
101.074, -39.0240
102.539, -39.0842
104.004, -39.8141
105.469, -39.6164
106.934, -39.9684
108.398, -40.2353
109.863, -40.7511
111.328, -40.3978
112.793, -40.6603
114.258, -40.7684
115.723, -41.0209
117.188, -41.4549
118.652, -41.3733
120.117, -40.5827
121.582, -41.5143
123.047, -41.3467
124.512, -41.4743
125.977, -41.3285
127.441, -41.9872
128.906, -41.0850
130.371, -41.6833
131.836, -41.4335
133.301, -41.6890
134.766, -41.9050
136.230, -41.3070
137.695, -41.9953
139.160, -42.2186
140.625, -41.2659
142.090, -41.1640
143.555, -41.4970
145.020, -41.7532
146.484, -39.7959
147.949, -40.4911
149.414, -40.9551
150.879, -39.7167
152.344, -40.7967
153.809, -40.0534
155.273, -39.2549
156.738, -39.2013
158.203, -38.0052
159.668, -39.7966
161.133, -38.7603
162.598, -39.1814
164.063, -38.6665
165.527, -38.1355
166.992, -37.7233
168.457, -37.7094
169.922, -36.9523
171.387, -37.0846
172.852, -36.4046
174.316, -37.2289
175.781, -36.8779
177.246, -37.3026
178.711, -37.2592
180.176, -38.2209
181.641, -38.7625
183.105, -39.4492
184.570, -41.2864
186.035, -41.5084
187.500, -43.7295
188.965, -43.5640
190.430, -45.0728
191.895, -45.6065
193.359, -46.1311
194.824, -48.5951
196.289, -51.0352
197.754, -52.2803
199.219, -51.4645
200.684, -54.1763
202.148, -57.0234
203.613, -62.2293
205.078, -52.6632
206.543, -48.4846
208.008, -48.9509
209.473, -48.0967
210.938, -46.1972
212.402, -42.6698
213.867, -39.7174
215.332, -39.5314
216.797, -35.7617
218.262, -33.4625
219.727, -29.4331
221.191, -24.7811
222.656, -22.7604
224.121, -26.7212
225.586, -30.2469
227.051, -32.7704
228.516, -34.3862
229.980, -35.8103
231.445, -38.4956
232.910, -38.2256
234.375, -39.7358
235.840, -40.8483
237.305, -41.8333
238.770, -42.1116
240.234, -41.4260
241.699, -47.6754
243.164, -47.5565
244.629, -45.1034
246.094, -46.0038
247.559, -42.4303
249.023, -46.0401
250.488, -41.5503
251.953, -42.1553
253.418, -40.1282
254.883, -39.4779
256.348, -39.5149
257.813, -37.2282
259.277, -36.1870
260.742, -37.2424
262.207, -37.9733
263.672, -36.5241
265.137, -37.0519
266.602, -37.0527
268.066, -36.3762
269.531, -39.0434
270.996, -35.5462
272.461, -39.3770
273.926, -36.3280
275.391, -37.5510
276.855, -37.3255
278.320, -37.6868
279.785, -36.7298
281.250, -37.0756
282.715, -38.8232
284.180, -36.3223
285.645, -37.3799
287.109, -36.5888
288.574, -36.7834
290.039, -36.6728
291.504, -36.2124
292.969, -35.0957
294.434, -36.5607
295.898, -37.7365
297.363, -33.9647
298.828, -35.4848
300.293, -38.2441
301.758, -36.7424
303.223, -37.4678
304.688, -36.4726
306.152, -37.5456
307.617, -35.5154
309.082, -42.0335
310.547, -39.8810
312.012, -43.5556
313.477, -36.3057
314.941, -28.7853
316.406, -23.1708
317.871, -23.0342
319.336, -24.6185
320.801, -25.5616
322.266, -26.1821
323.730, -26.6533
325.195, -26.3688
326.660, -27.2305
328.125, -26.3037
329.590, -27.1776
331.055, -26.3696
332.520, -26.6718
333.984, -25.0891
335.449, -25.7654
336.914, -25.1289
338.379, -25.1606
339.844, -24.2278
341.309, -24.1260
342.773, -22.8751
344.238, -23.9836
345.703, -21.4762
347.168, -22.4966
348.633, -20.5374
350.098, -21.0789
351.563, -19.7668
353.027, -19.5720
354.492, -18.1091
355.957, -17.6661
357.422, -16.3484
358.887, -16.0627
360.352, -13.8285
361.816, -12.3668
363.281, -11.4854
364.746, -8.4901
366.211, -8.3215
367.676, -5.3138
369.141, -4.1681
370.605, -5.0986
372.070, -6.0828
373.535, -8.9220
375.000, -9.5009
376.465, -12.8327
377.930, -13.3379
379.395, -13.4751
380.859, -14.4954
382.324, -15.2285
383.789, -17.4911
385.254, -17.2442
386.719, -17.8947
388.184, -17.8898
389.648, -20.3242
391.113, -19.6517
392.578, -20.1586
394.043, -20.0834
395.508, -20.8763
396.973, -21.1723
398.438, -20.8429
399.902, -21.7152
401.367, -22.0806
402.832, -21.8403
404.297, -22.0982
405.762, -22.9129
407.227, -23.3244
408.691, -24.0685
410.156, -23.4432
411.621, -23.6072
413.086, -24.0921
414.551, -23.7777
416.016, -24.8939
417.480, -23.9829
418.945, -24.1258
420.410, -25.3661
421.875, -26.2899
423.340, -25.1776
424.805, -25.6912
426.270, -25.8117
427.734, -25.0521
429.199, -25.4533
430.664, -25.8184
432.129, -25.5736
433.594, -24.7801
435.059, -24.9412
436.523, -25.0446
437.988, -24.3296
439.453, -23.7425
440.918, -24.7965
442.383, -23.6878
443.848, -23.6309
445.313, -24.0523
446.777, -23.8172
448.242, -22.2575
449.707, -23.5220
451.172, -23.6072
452.637, -22.9783
454.102, -23.1177
455.566, -23.0670
457.031, -23.9504
458.496, -24.6071
459.961, -23.7259
461.426, -23.7739
462.891, -23.4165
464.355, -24.2374
465.820, -23.8952
467.285, -23.6952
468.750, -24.2189
470.215, -24.5672
471.680, -25.4719
473.145, -24.5688
474.609, -25.1394
476.074, -25.0906
477.539, -25.6504
479.004, -24.8396
480.469, -26.5242
481.934, -26.5902
483.398, -27.4426
484.863, -27.2492
486.328, -27.5380
487.793, -29.9262
489.258, -27.4478
490.723, -27.7235
492.188, -26.2961
493.652, -26.8233
495.117, -25.5920
496.582, -25.5217
498.047, -27.4816
499.512, -28.8767
500.977, -24.7298
502.441, -24.2449
503.906, -25.1035
505.371, -27.0950
506.836, -24.5441
508.301, -22.7771
509.766, -27.1165
511.230, -24.4032
512.695, -23.8512
514.160, -26.5403
515.625, -27.5460
517.090, -25.1529
518.555, -23.9465
520.020, -23.8341
521.484, -25.0346
522.949, -24.9820
524.414, -24.4795
525.879, -24.9428
527.344, -25.5284
528.809, -25.1368
530.273, -25.5503
531.738, -26.4457
533.203, -26.1686
534.668, -26.9101
536.133, -26.8487
537.598, -28.1809
539.063, -28.6776
540.527, -29.5974
541.992, -32.4443
543.457, -30.4056
544.922, -28.6542
546.387, -31.2436
547.852, -26.6684
549.316, -25.5350
550.781, -24.8753
552.246, -24.3446
553.711, -21.9888
555.176, -21.0220
556.641, -20.8777
558.105, -20.4906
559.570, -20.3766
561.035, -19.8870
562.500, -19.9789
563.965, -19.8303
565.430, -20.1634
566.895, -20.0550
568.359, -19.7794
569.824, -20.2460
571.289, -19.8947
572.754, -20.3961
574.219, -19.6708
575.684, -19.5460
577.148, -19.1454
578.613, -18.9284
580.078, -19.1941
581.543, -19.0284
583.008, -18.5842
584.473, -19.2640
585.938, -18.5001
587.402, -19.0333
588.867, -19.0744
590.332, -19.8949
591.797, -20.3698
593.262, -20.0118
594.727, -20.8000
596.191, -20.8520
597.656, -19.8504
599.121, -18.4488
600.586, -18.3390
602.051, -18.1744
603.516, -16.9321
604.980, -16.8000
606.445, -16.1838
607.910, -16.2465
609.375, -16.7296
610.840, -16.5428
612.305, -16.9440
613.770, -16.7034
615.234, -17.9399
616.699, -17.2627
618.164, -17.6488
619.629, -18.2778
621.094, -18.4171
622.559, -19.1545
624.023, -19.5560
625.488, -19.5653
626.953, -19.7754
628.418, -20.1121
629.883, -19.8057
631.348, -20.4936
632.813, -19.1892
634.277, -19.4608
635.742, -19.0521
637.207, -19.2841
638.672, -19.3091
640.137, -18.9395
641.602, -18.7346
643.066, -19.2561
644.531, -20.6633
645.996, -18.9987
647.461, -19.8820
648.926, -19.8487
650.391, -21.0084
651.855, -20.4746
653.320, -20.5911
654.785, -20.4454
656.250, -20.9182
