DFT, Frequency Response Magnitude
Numpoints, 16384
SamplingRate(Hz), 48000.000000
Frequency(Hz), Magnitude(dB)
0.000, 0.0000
1.465, -69.6426
2.930, -71.9351
4.395, -81.5193
5.859, -73.0046
7.324, -71.4445
8.789, -73.7392
10.254, -73.8560
11.719, -79.9952
13.184, -56.5114
14.648, -53.2570
16.113, -50.1742
17.578, -48.8549
19.043, -49.2561
20.508, -50.4466
21.973, -50.8873
23.438, -52.7813
24.902, -52.7085
26.367, -53.3529
27.832, -50.3967
29.297, -54.7779
30.762, -52.2322
32.227, -45.1227
33.691, -50.9207
35.156, -55.0389
36.621, -50.5570
38.086, -51.6621
39.551, -48.5775
41.016, -45.7316
42.480, -42.9042
43.945, -41.3172
45.410, -38.6335
46.875, -36.1475
48.340, -33.9894
49.805, -31.9170
51.270, -29.5055
52.734, -28.4121
54.199, -25.9531
55.664, -23.5797
57.129, -21.7383
58.594, -19.1044
60.059, -17.6153
61.523, -15.8816
62.988, -13.7374
64.453, -11.6106
65.918, -10.3338
67.383, -7.7843
68.848, -6.2520
70.313, -5.0355
71.777, -3.5414
73.242, -2.9309
74.707, -2.1950
76.172, -2.2120
77.637, -3.1183
79.102, -3.6797
80.566, -3.6384
82.031, -5.0283
83.496, -5.7932
84.961, -5.9908
86.426, -6.5868
87.891, -7.4578
89.355, -8.4037
90.820, -9.1566
92.285, -9.3631
93.750, -10.0755
95.215, -10.6464
96.680, -11.0069
98.145, -11.7312
99.609, -12.4124
101.074, -12.3297
102.539, -13.1790
104.004, -13.6023
105.469, -14.1391
106.934, -14.4390
108.398, -14.6059
109.863, -14.9997
111.328, -15.0642
112.793, -15.1664
114.258, -16.0050
115.723, -15.8579
117.188, -16.2402
118.652, -16.6550
120.117, -16.7432
121.582, -17.7518
123.047, -16.9469
124.512, -16.7889
125.977, -17.1319
127.441, -18.1606
128.906, -17.9230
130.371, -18.5038
131.836, -18.5823
133.301, -18.7268
134.766, -18.7386
136.230, -18.5005
137.695, -19.3429
139.160, -19.0443
140.625, -19.3985
142.090, -19.5703
143.555, -19.7257
145.020, -19.6394
146.484, -20.3399
147.949, -20.8120
149.414, -20.7409
150.879, -20.6472
152.344, -21.0721
153.809, -21.2504
155.273, -20.9837
156.738, -22.4445
158.203, -22.4119
159.668, -22.7843
161.133, -23.7844
162.598, -23.3482
164.063, -24.7656
165.527, -25.4106
166.992, -25.0801
168.457, -25.0655
169.922, -24.8024
171.387, -24.5192
172.852, -24.2115
174.316, -21.2567
175.781, -19.5786
177.246, -18.9153
178.711, -18.2692
180.176, -17.5490
181.641, -16.8027
183.105, -16.2978
184.570, -16.2808
186.035, -15.9910
187.500, -15.4313
188.965, -15.8148
190.430, -15.7056
191.895, -15.3501
193.359, -15.2828
194.824, -15.2622
196.289, -15.5295
197.754, -15.4524
199.219, -14.5827
200.684, -14.8081
202.148, -15.1911
203.613, -14.7934
205.078, -14.5065
206.543, -14.5612
208.008, -14.6241
209.473, -14.9190
210.938, -14.9605
212.402, -14.9473
213.867, -14.6043
215.332, -14.3556
216.797, -14.5202
218.262, -14.9639
219.727, -15.7819
221.191, -18.2307
222.656, -14.3952
224.121, -11.8152
225.586, -11.4740
227.051, -11.6336
228.516, -11.0472
229.980, -11.0022
231.445, -10.9675
232.910, -10.8592
234.375, -10.3709
235.840, -10.1987
237.305, -9.8148
238.770, -9.1903
240.234, -9.1601
241.699, -8.7516
243.164, -8.0620
244.629, -8.1066
246.094, -7.6797
247.559, -7.1617
249.023, -7.2232
250.488, -7.0423
251.953, -7.0140
253.418, -6.7295
254.883, -7.0626
256.348, -7.2534
257.813, -7.6588
259.277, -7.9903
260.742, -8.9327
262.207, -9.3962
263.672, -10.0315
265.137, -10.6044
266.602, -10.7550
268.066, -11.7184
269.531, -12.1336
270.996, -12.8836
272.461, -13.5649
273.926, -14.3267
275.391, -14.6236
276.855, -15.4170
278.320, -16.3146
279.785, -16.3904
281.250, -16.7463
282.715, -17.2250
284.180, -18.1166
285.645, -18.3891
287.109, -18.9921
288.574, -19.1676
290.039, -19.6781
291.504, -19.7883
292.969, -20.2952
294.434, -21.3221
295.898, -21.4673
297.363, -21.4325
298.828, -22.0767
300.293, -21.8928
301.758, -22.9007
303.223, -22.9805
304.688, -23.4502
306.152, -23.3426
307.617, -23.4191
309.082, -23.8287
310.547, -24.0892
312.012, -24.5113
313.477, -24.9273
314.941, -26.4618
316.406, -25.2684
317.871, -24.2793
319.336, -24.2663
320.801, -23.6505
322.266, -24.2494
323.730, -24.6113
325.195, -24.4719
326.660, -24.5022
328.125, -24.3731
329.590, -24.3415
331.055, -24.0807
332.520, -24.3054
333.984, -24.4827
335.449, -23.8768
336.914, -23.9121
338.379, -24.5848
339.844, -23.4540
341.309, -23.2464
342.773, -24.0255
344.238, -23.1122
345.703, -23.5027
347.168, -24.2025
348.633, -23.3006
350.098, -22.9215
351.563, -22.1879
353.027, -22.7904
354.492, -22.6868
355.957, -23.0194
357.422, -24.1548
358.887, -25.2112
360.352, -26.2777
361.816, -25.2720
363.281, -24.8833
364.746, -23.7711
366.211, -22.9172
367.676, -22.6114
369.141, -23.8097
370.605, -27.8151
372.070, -32.1707
373.535, -35.1751
375.000, -32.1071
376.465, -28.8676
377.930, -27.4258
379.395, -25.1291
380.859, -24.9050
382.324, -24.1242
383.789, -23.5074
385.254, -23.7309
386.719, -22.8778
388.184, -22.4786
389.648, -21.9178
391.113, -21.8617
392.578, -21.4511
394.043, -21.0416
395.508, -20.8067
396.973, -19.8439
398.438, -20.2186
399.902, -19.2032
401.367, -19.7965
402.832, -19.8554
404.297, -18.5834
405.762, -18.0288
407.227, -18.1433
408.691, -18.5982
410.156, -17.4291
411.621, -17.5913
413.086, -16.9472
414.551, -17.6916
416.016, -16.2128
417.480, -16.7449
418.945, -16.2699
420.410, -15.8324
421.875, -16.6380
423.340, -15.5990
424.805, -16.5014
426.270, -16.2294
427.734, -17.3700
429.199, -16.1635
430.664, -15.8815
432.129, -16.7399
433.594, -16.3922
435.059, -16.7725
436.523, -17.3685
437.988, -17.7612
439.453, -18.2249
440.918, -18.0129
442.383, -19.8791
443.848, -18.7611
445.313, -18.3302
446.777, -19.1444
448.242, -19.5170
449.707, -19.4988
451.172, -19.7477
452.637, -19.4999
454.102, -20.1202
455.566, -18.9412
457.031, -17.9165
458.496, -17.6112
459.961, -17.6223
461.426, -17.5497
462.891, -17.1468
464.355, -16.1131
465.820, -15.8787
467.285, -16.3230
468.750, -15.1349
470.215, -15.2535
471.680, -14.5913
473.145, -15.0460
474.609, -15.0830
476.074, -13.7979
477.539, -14.2717
479.004, -13.3767
480.469, -13.9024
481.934, -13.1783
483.398, -13.5215
484.863, -13.5132
486.328, -12.4603
487.793, -12.6805
489.258, -12.9463
490.723, -12.8256
492.188, -13.2755
493.652, -12.4742
495.117, -15.1131
496.582, -13.8304
498.047, -12.4816
499.512, -14.9570
500.977, -12.3009
502.441, -14.0573
503.906, -11.9685
505.371, -12.9290
506.836, -14.1069
508.301, -13.7360
509.766, -11.9968
511.230, -12.8663
512.695, -15.8904
514.160, -15.1565
515.625, -13.3967
517.090, -13.8802
518.555, -15.3935
520.020, -16.0874
521.484, -14.5543
522.949, -13.9628
524.414, -16.6371
525.879, -16.0473
527.344, -14.0122
528.809, -13.8862
530.273, -12.8001
531.738, -14.9278
533.203, -15.5995
534.668, -13.2847
536.133, -11.9849
537.598, -11.5127
539.063, -13.4838
540.527, -14.5724
541.992, -13.3254
543.457, -12.8368
544.922, -14.1912
546.387, -15.8774
547.852, -14.9619
549.316, -15.1176
550.781, -15.3744
552.246, -15.7919
553.711, -16.5161
555.176, -15.0561
556.641, -15.4434
558.105, -16.5938
559.570, -15.8261
561.035, -15.9870
562.500, -16.9695
563.965, -17.2976
565.430, -16.8014
566.895, -18.0825
568.359, -19.4381
569.824, -18.5002
571.289, -20.6556
572.754, -21.2028
574.219, -21.2128
575.684, -20.3445
577.148, -22.4623
578.613, -21.7718
580.078, -26.7536
581.543, -23.7454
583.008, -31.4048
584.473, -30.4872
585.938, -29.5895
587.402, -26.5250
588.867, -24.2355
590.332, -29.6323
591.797, -30.7301
593.262, -25.6850
594.727, -25.4611
596.191, -22.0880
597.656, -22.1506
599.121, -18.3774
600.586, -16.3203
602.051, -16.0208
603.516, -14.7141
604.980, -15.7833
606.445, -16.0517
607.910, -13.7400
609.375, -13.8469
610.840, -13.4045
612.305, -13.9338
613.770, -13.2419
615.234, -13.4464
616.699, -13.6127
618.164, -14.0269
619.629, -14.9047
621.094, -15.0830
622.559, -14.7495
624.023, -14.1190
625.488, -15.3174
626.953, -14.9063
628.418, -15.0257
629.883, -16.7196
631.348, -16.7475
632.813, -17.5185
634.277, -17.4098
635.742, -17.2814
637.207, -17.1413
638.672, -18.8737
640.137, -19.1705
641.602, -19.9988
643.066, -19.3486
644.531, -18.5566
645.996, -19.1171
647.461, -18.9527
648.926, -19.9189
650.391, -19.0239
651.855, -19.1309
653.320, -20.8331
654.785, -21.1181
656.250, -20.4189
