Project Name	MedidasMartillo
Measurement Name	M1-Negro
User Name	Default USER

Creation time	5/22/2016 14:52:8
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	1.09867e-002	-1.80000e+002	
 1.25000e+000	2.31057e-002	-2.50780e+002	
 2.50000e+000	1.13908e-002	-2.75607e+002	
 3.75000e+000	7.11611e-003	-2.83100e+002	
 5.00000e+000	5.94606e-003	-2.86970e+002	
 6.25000e+000	5.96444e-003	-2.92655e+002	
 7.50000e+000	6.59879e-003	-2.99140e+002	
 8.75000e+000	7.83235e-003	-3.06969e+002	
 1.00000e+001	9.49931e-003	-3.14384e+002	
 1.12500e+001	1.15594e-002	-3.20180e+002	
 1.25000e+001	1.41175e-002	-3.25495e+002	
 1.37500e+001	1.71965e-002	-3.29720e+002	
 1.50000e+001	2.08262e-002	-3.33602e+002	
 1.62500e+001	2.50522e-002	-3.36799e+002	
 1.75000e+001	3.01907e-002	-3.39949e+002	
 1.87500e+001	3.62417e-002	-3.42881e+002	
 2.00000e+001	4.33528e-002	-3.46214e+002	
 2.12500e+001	5.17179e-002	-3.49628e+002	
 2.25000e+001	6.11682e-002	-3.53337e+002	
 2.37500e+001	7.22647e-002	-3.57383e+002	
 2.50000e+001	8.46488e-002	-3.61794e+002	
 2.62500e+001	9.88614e-002	-3.66414e+002	
 2.75000e+001	1.14592e-001	-3.71422e+002	
 2.87500e+001	1.32134e-001	-3.76927e+002	
 3.00000e+001	1.51202e-001	-3.82886e+002	
 3.12500e+001	1.71658e-001	-3.89478e+002	
 3.25000e+001	1.92681e-001	-3.96493e+002	
 3.37500e+001	2.14619e-001	-4.04074e+002	
 3.50000e+001	2.35702e-001	-4.12131e+002	
 3.62500e+001	2.53348e-001	-4.20768e+002	
 3.75000e+001	2.68436e-001	-4.30140e+002	
 3.87500e+001	2.75788e-001	-4.39664e+002	
 4.00000e+001	2.73977e-001	-4.49563e+002	
 4.12500e+001	2.61622e-001	-4.59373e+002	
 4.25000e+001	2.34739e-001	-4.68391e+002	
 4.37500e+001	1.93607e-001	-4.74338e+002	
 4.50000e+001	1.47198e-001	-4.70981e+002	
 4.62500e+001	1.28094e-001	-4.50457e+002	
 4.75000e+001	1.67512e-001	-4.32825e+002	
 4.87500e+001	2.41119e-001	-4.32686e+002	
 5.00000e+001	3.07340e-001	-4.43635e+002	
 5.12500e+001	3.32005e-001	-4.55241e+002	
 5.25000e+001	3.34310e-001	-4.62647e+002	
 5.37500e+001	3.40663e-001	-4.67408e+002	
 5.50000e+001	3.55560e-001	-4.72321e+002	
 5.62500e+001	3.71571e-001	-4.77944e+002	
 5.75000e+001	3.86706e-001	-4.83680e+002	
 5.87500e+001	3.98521e-001	-4.90036e+002	
 6.00000e+001	4.02157e-001	-4.97066e+002	
 6.12500e+001	4.02126e-001	-5.03994e+002	
 6.25000e+001	3.94864e-001	-5.11108e+002	
 6.37500e+001	3.81210e-001	-5.17958e+002	
 6.50000e+001	3.61082e-001	-5.24591e+002	
 6.62500e+001	3.36098e-001	-5.30775e+002	
 6.75000e+001	3.07904e-001	-5.36061e+002	
 6.87500e+001	2.77549e-001	-5.40245e+002	
 7.00000e+001	2.46768e-001	-5.42818e+002	
 7.12500e+001	2.18294e-001	-5.43714e+002	
 7.25000e+001	1.95235e-001	-5.42481e+002	
 7.37500e+001	1.78910e-001	-5.39438e+002	
 7.50000e+001	1.70163e-001	-5.35391e+002	
 7.62500e+001	1.68134e-001	-5.31595e+002	
 7.75000e+001	1.71541e-001	-5.28927e+002	
 7.87500e+001	1.76841e-001	-5.27841e+002	
 8.00000e+001	1.82717e-001	-5.28004e+002	
 8.12500e+001	1.87171e-001	-5.29232e+002	
 8.25000e+001	1.88772e-001	-5.31360e+002	
 8.37500e+001	1.87989e-001	-5.33419e+002	
 8.50000e+001	1.84000e-001	-5.35518e+002	
 8.62500e+001	1.78549e-001	-5.36993e+002	
 8.75000e+001	1.73307e-001	-5.37581e+002	
 8.87500e+001	1.68186e-001	-5.37715e+002	
 9.00000e+001	1.65466e-001	-5.37497e+002	
 9.12500e+001	1.64609e-001	-5.37436e+002	
 9.25000e+001	1.63846e-001	-5.38117e+002	
 9.37500e+001	1.62121e-001	-5.39042e+002	
 9.50000e+001	1.59198e-001	-5.39943e+002	
 9.62500e+001	1.55284e-001	-5.40592e+002	
 9.75000e+001	1.51305e-001	-5.40943e+002	
 9.87500e+001	1.47757e-001	-5.40819e+002	
 1.00000e+002	1.45001e-001	-5.40645e+002	
 1.01250e+002	1.42592e-001	-5.40311e+002	
 1.02500e+002	1.40369e-001	-5.40052e+002	
 1.03750e+002	1.38631e-001	-5.39625e+002	
 1.05000e+002	1.37087e-001	-5.39267e+002	
 1.06250e+002	1.35868e-001	-5.38857e+002	
 1.07500e+002	1.34755e-001	-5.38506e+002	
 1.08750e+002	1.33894e-001	-5.37989e+002	
 1.10000e+002	1.33316e-001	-5.37631e+002	
 1.11250e+002	1.32860e-001	-5.37250e+002	
 1.12500e+002	1.32892e-001	-5.36978e+002	
 1.13750e+002	1.32923e-001	-5.36758e+002	
 1.15000e+002	1.32961e-001	-5.36557e+002	
 1.16250e+002	1.33180e-001	-5.36488e+002	
 1.17500e+002	1.33213e-001	-5.36593e+002	
 1.18750e+002	1.33521e-001	-5.36570e+002	
 1.20000e+002	1.33608e-001	-5.36601e+002	
 1.21250e+002	1.33550e-001	-5.36689e+002	
 1.22500e+002	1.33507e-001	-5.36889e+002	
 1.23750e+002	1.33505e-001	-5.37101e+002	
 1.25000e+002	1.33396e-001	-5.37347e+002	
 1.26250e+002	1.33337e-001	-5.37628e+002	
 1.27500e+002	1.33002e-001	-5.37812e+002	
 1.28750e+002	1.32494e-001	-5.38097e+002	
 1.30000e+002	1.32081e-001	-5.38338e+002	
 1.31250e+002	1.31659e-001	-5.38551e+002	
 1.32500e+002	1.30961e-001	-5.38700e+002	
 1.33750e+002	1.30366e-001	-5.38920e+002	
 1.35000e+002	1.29838e-001	-5.39001e+002	
 1.36250e+002	1.29149e-001	-5.39125e+002	
 1.37500e+002	1.28651e-001	-5.39253e+002	
 1.38750e+002	1.27840e-001	-5.39396e+002	
 1.40000e+002	1.27158e-001	-5.39424e+002	
