Project Name	MedidasMartillo
Measurement Name	M2-Amarillo
User Name	Default USER

Creation time	5/22/2016 14:58:50
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	6.13839e-002	-1.80000e+002	
 1.25000e+000	1.51138e-002	-2.93870e+002	
 2.50000e+000	8.39197e-003	-3.20001e+002	
 3.75000e+000	8.54060e-003	-3.40691e+002	
 5.00000e+000	1.16169e-002	-3.52100e+002	
 6.25000e+000	1.66644e-002	-3.58168e+002	
 7.50000e+000	2.37055e-002	-3.61882e+002	
 8.75000e+000	3.32811e-002	-3.64824e+002	
 1.00000e+001	4.66197e-002	-3.67968e+002	
 1.12500e+001	6.44945e-002	-3.71157e+002	
 1.25000e+001	8.87580e-002	-3.76018e+002	
 1.37500e+001	1.22224e-001	-3.82185e+002	
 1.50000e+001	1.63457e-001	-3.90419e+002	
 1.62500e+001	2.17401e-001	-3.98350e+002	
 1.75000e+001	3.03846e-001	-4.10165e+002	
 1.87500e+001	4.11499e-001	-4.26977e+002	
 2.00000e+001	5.30051e-001	-4.50774e+002	
 2.12500e+001	5.94676e-001	-4.82402e+002	
 2.25000e+001	4.60501e-001	-5.17390e+002	
 2.37500e+001	2.76335e-001	-5.21569e+002	
 2.50000e+001	2.52346e-001	-5.17919e+002	
 2.62500e+001	2.37203e-001	-5.21540e+002	
 2.75000e+001	2.17720e-001	-5.23786e+002	
 2.87500e+001	2.05307e-001	-5.25451e+002	
 3.00000e+001	1.95577e-001	-5.27054e+002	
 3.12500e+001	1.87270e-001	-5.28538e+002	
 3.25000e+001	1.80284e-001	-5.29876e+002	
 3.37500e+001	1.74434e-001	-5.31050e+002	
 3.50000e+001	1.69157e-001	-5.32143e+002	
 3.62500e+001	1.64546e-001	-5.33136e+002	
 3.75000e+001	1.60622e-001	-5.34084e+002	
 3.87500e+001	1.56949e-001	-5.35110e+002	
 4.00000e+001	1.53522e-001	-5.36093e+002	
 4.12500e+001	1.49390e-001	-5.37117e+002	
 4.25000e+001	1.45041e-001	-5.37873e+002	
 4.37500e+001	1.40571e-001	-5.37997e+002	
 4.50000e+001	1.37564e-001	-5.37719e+002	
 4.62500e+001	1.35683e-001	-5.37498e+002	
 4.75000e+001	1.34283e-001	-5.37458e+002	
 4.87500e+001	1.32944e-001	-5.37324e+002	
 5.00000e+001	1.31990e-001	-5.37363e+002	
 5.12500e+001	1.31386e-001	-5.37510e+002	
 5.25000e+001	1.30397e-001	-5.37564e+002	
 5.37500e+001	1.29872e-001	-5.37885e+002	
 5.50000e+001	1.29465e-001	-5.37983e+002	
 5.62500e+001	1.29153e-001	-5.38313e+002	
 5.75000e+001	1.28847e-001	-5.38634e+002	
 5.87500e+001	1.28058e-001	-5.39154e+002	
 6.00000e+001	1.27499e-001	-5.39686e+002	
 6.12500e+001	1.26696e-001	-5.40151e+002	
