Project Name	MedidasMartillo
Measurement Name	M3-RosaFino
User Name	Default USER

Creation time	5/22/2016 15:0:54
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	7.77439e-002	-1.80000e+002	
 1.25000e+000	1.10085e-001	-2.71654e+002	
 2.50000e+000	4.92923e-002	-2.79321e+002	
 3.75000e+000	3.11099e-002	-2.80852e+002	
 5.00000e+000	2.30308e-002	-2.81322e+002	
 6.25000e+000	1.87749e-002	-2.81883e+002	
 7.50000e+000	1.61712e-002	-2.82822e+002	
 8.75000e+000	1.47308e-002	-2.84725e+002	
 1.00000e+001	1.39202e-002	-2.87284e+002	
 1.12500e+001	1.36050e-002	-2.90603e+002	
 1.25000e+001	1.37071e-002	-2.94301e+002	
 1.37500e+001	1.41337e-002	-2.98429e+002	
 1.50000e+001	1.48966e-002	-3.03208e+002	
 1.62500e+001	1.59903e-002	-3.07614e+002	
 1.75000e+001	1.74235e-002	-3.12448e+002	
 1.87500e+001	1.90377e-002	-3.17093e+002	
 2.00000e+001	2.10049e-002	-3.21608e+002	
 2.12500e+001	2.32527e-002	-3.25862e+002	
 2.25000e+001	2.57966e-002	-3.30185e+002	
 2.37500e+001	2.86293e-002	-3.34127e+002	
 2.50000e+001	3.16886e-002	-3.38099e+002	
 2.62500e+001	3.50240e-002	-3.41661e+002	
 2.75000e+001	3.88090e-002	-3.45440e+002	
 2.87500e+001	4.28085e-002	-3.48814e+002	
 3.00000e+001	4.69944e-002	-3.52311e+002	
 3.12500e+001	5.15195e-002	-3.55742e+002	
 3.25000e+001	5.63393e-002	-3.59109e+002	
 3.37500e+001	6.14451e-002	-3.62381e+002	
 3.50000e+001	6.69347e-002	-3.65736e+002	
 3.62500e+001	7.27283e-002	-3.68956e+002	
 3.75000e+001	7.85663e-002	-3.72332e+002	
 3.87500e+001	8.50078e-002	-3.75617e+002	
 4.00000e+001	9.13948e-002	-3.78956e+002	
 4.12500e+001	9.78852e-002	-3.82400e+002	
 4.25000e+001	1.04885e-001	-3.85823e+002	
 4.37500e+001	1.11468e-001	-3.89326e+002	
 4.50000e+001	1.18342e-001	-3.92853e+002	
 4.62500e+001	1.25292e-001	-3.96416e+002	
 4.75000e+001	1.31919e-001	-4.00000e+002	
 4.87500e+001	1.38486e-001	-4.03570e+002	
