Project Name	MedidasMartillo
Measurement Name	M4-RosaGrueso
User Name	Default USER

Creation time	5/22/2016 15:1:55
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	1.51231e-001	 0.00000e+000	
 1.25000e+000	9.78197e-002	 9.64540e+001	
 2.50000e+000	5.18086e-002	 8.13993e+001	
 3.75000e+000	3.18587e-002	 8.00275e+001	
 5.00000e+000	2.42583e-002	 7.79019e+001	
 6.25000e+000	1.95961e-002	 7.57769e+001	
 7.50000e+000	1.69998e-002	 7.32395e+001	
 8.75000e+000	1.55190e-002	 6.94538e+001	
 1.00000e+001	1.48332e-002	 6.48401e+001	
 1.12500e+001	1.47593e-002	 5.95806e+001	
 1.25000e+001	1.50810e-002	 5.41375e+001	
 1.37500e+001	1.59497e-002	 4.86555e+001	
 1.50000e+001	1.73126e-002	 4.29776e+001	
 1.62500e+001	1.91356e-002	 3.75866e+001	
 1.75000e+001	2.13565e-002	 3.25041e+001	
 1.87500e+001	2.40851e-002	 2.74802e+001	
 2.00000e+001	2.72258e-002	 2.29063e+001	
 2.12500e+001	3.08865e-002	 1.84485e+001	
 2.25000e+001	3.50502e-002	 1.39931e+001	
 2.37500e+001	3.96402e-002	 9.68000e+000	
 2.50000e+001	4.47172e-002	 5.48846e+000	
 2.62500e+001	5.03410e-002	 1.28678e+000	
 2.75000e+001	5.63608e-002	-2.98010e+000	
 2.87500e+001	6.30232e-002	-7.40920e+000	
 3.00000e+001	6.99968e-002	-1.16088e+001	
 3.12500e+001	7.74880e-002	-1.61806e+001	
 3.25000e+001	8.52249e-002	-2.06668e+001	
 3.37500e+001	9.33046e-002	-2.53679e+001	
 3.50000e+001	1.01537e-001	-3.00679e+001	
 3.62500e+001	1.09528e-001	-3.49355e+001	
 3.75000e+001	1.17478e-001	-3.99147e+001	
 3.87500e+001	1.25011e-001	-4.49459e+001	
 4.00000e+001	1.32222e-001	-4.99429e+001	
 4.12500e+001	1.38377e-001	-5.49894e+001	
 4.25000e+001	1.43686e-001	-5.99260e+001	
 4.37500e+001	1.47442e-001	-6.46851e+001	
 4.50000e+001	1.50280e-001	-6.92848e+001	
 4.62500e+001	1.51622e-001	-7.34948e+001	
 4.75000e+001	1.51558e-001	-7.73623e+001	
 4.87500e+001	1.50472e-001	-8.05682e+001	
 5.00000e+001	1.48626e-001	-8.29762e+001	
 5.12500e+001	1.47039e-001	-8.46838e+001	
 5.25000e+001	1.45274e-001	-8.55929e+001	
 5.37500e+001	1.44881e-001	-8.55259e+001	
 5.50000e+001	1.46344e-001	-8.48790e+001	
 5.62500e+001	1.51544e-001	-8.36767e+001	
 5.75000e+001	1.60269e-001	-8.30877e+001	
 5.87500e+001	1.71963e-001	-8.36089e+001	
 6.00000e+001	1.84343e-001	-8.51673e+001	
 6.12500e+001	1.96745e-001	-8.75215e+001	
 6.25000e+001	2.08492e-001	-9.04491e+001	
 6.37500e+001	2.19279e-001	-9.37003e+001	
 6.50000e+001	2.29052e-001	-9.69648e+001	
 6.62500e+001	2.38010e-001	-1.00276e+002	
 6.75000e+001	2.46524e-001	-1.03966e+002	
 6.87500e+001	2.53154e-001	-1.07557e+002	
 7.00000e+001	2.59297e-001	-1.11346e+002	
 7.12500e+001	2.63589e-001	-1.15085e+002	
 7.25000e+001	2.66553e-001	-1.18759e+002	
 7.37500e+001	2.68362e-001	-1.22589e+002	
 7.50000e+001	2.69040e-001	-1.26040e+002	
 7.62500e+001	2.67837e-001	-1.29657e+002	
 7.75000e+001	2.65419e-001	-1.33073e+002	
 7.87500e+001	2.62134e-001	-1.36178e+002	
 8.00000e+001	2.56997e-001	-1.39195e+002	
 8.12500e+001	2.52198e-001	-1.41857e+002	
 8.25000e+001	2.45955e-001	-1.44137e+002	
 8.37500e+001	2.40087e-001	-1.46187e+002	
 8.50000e+001	2.34259e-001	-1.47818e+002	
 8.62500e+001	2.28884e-001	-1.49196e+002	
 8.75000e+001	2.24676e-001	-1.50340e+002	
 8.87500e+001	2.20875e-001	-1.51290e+002	
 9.00000e+001	2.18173e-001	-1.52191e+002	
 9.12500e+001	2.16123e-001	-1.53006e+002	
 9.25000e+001	2.14735e-001	-1.53944e+002	
 9.37500e+001	2.13489e-001	-1.54973e+002	
 9.50000e+001	2.12365e-001	-1.56055e+002	
 9.62500e+001	2.11261e-001	-1.57178e+002	
 9.75000e+001	2.09953e-001	-1.58403e+002	
 9.87500e+001	2.08313e-001	-1.59608e+002	
 1.00000e+002	2.06851e-001	-1.60760e+002	
 1.01250e+002	2.05120e-001	-1.61996e+002	
 1.02500e+002	2.03351e-001	-1.63142e+002	
 1.03750e+002	2.01578e-001	-1.64286e+002	
 1.05000e+002	1.99351e-001	-1.65400e+002	
 1.06250e+002	1.97153e-001	-1.66516e+002	
 1.07500e+002	1.95184e-001	-1.67591e+002	
 1.08750e+002	1.92419e-001	-1.68687e+002	
 1.10000e+002	1.89979e-001	-1.69702e+002	
 1.11250e+002	1.87174e-001	-1.70603e+002	
 1.12500e+002	1.84515e-001	-1.71514e+002	
 1.13750e+002	1.81807e-001	-1.72262e+002	
 1.15000e+002	1.78899e-001	-1.73043e+002	
 1.16250e+002	1.76064e-001	-1.73647e+002	
 1.17500e+002	1.73355e-001	-1.74223e+002	
 1.18750e+002	1.70700e-001	-1.74700e+002	
 1.20000e+002	1.68200e-001	-1.75113e+002	
 1.21250e+002	1.65889e-001	-1.75415e+002	
 1.22500e+002	1.63698e-001	-1.75734e+002	
 1.23750e+002	1.61606e-001	-1.75969e+002	
 1.25000e+002	1.59845e-001	-1.76199e+002	
 1.26250e+002	1.58130e-001	-1.76410e+002	
 1.27500e+002	1.56525e-001	-1.76608e+002	
 1.28750e+002	1.55112e-001	-1.76788e+002	
 1.30000e+002	1.53744e-001	-1.77001e+002	
 1.31250e+002	1.52405e-001	-1.77162e+002	
 1.32500e+002	1.51214e-001	-1.77405e+002	
 1.33750e+002	1.50036e-001	-1.77593e+002	
 1.35000e+002	1.48993e-001	-1.77828e+002	
 1.36250e+002	1.47739e-001	-1.78018e+002	
 1.37500e+002	1.46767e-001	-1.78208e+002	
 1.38750e+002	1.45543e-001	-1.78440e+002	
 1.40000e+002	1.44558e-001	-1.78642e+002	
 1.41250e+002	1.43476e-001	-1.78842e+002	
 1.42500e+002	1.42459e-001	-1.79007e+002	
 1.43750e+002	1.41407e-001	-1.79075e+002	
 1.45000e+002	1.40424e-001	-1.79263e+002	
 1.46250e+002	1.39190e-001	-1.79427e+002	
 1.47500e+002	1.38440e-001	-1.79533e+002	
 1.48750e+002	1.37476e-001	-1.79660e+002	
 1.50000e+002	1.36456e-001	-1.79695e+002	
 1.51250e+002	1.35487e-001	-1.79808e+002	
 1.52500e+002	1.34630e-001	-1.79907e+002	
 1.53750e+002	1.33775e-001	-1.79927e+002	
 1.55000e+002	1.33012e-001	-1.79948e+002	
 1.56250e+002	1.32222e-001	-1.79975e+002	
 1.57500e+002	1.31401e-001	-1.80038e+002	
 1.58750e+002	1.30707e-001	-1.80007e+002	
 1.60000e+002	1.29934e-001	-1.79962e+002	
 1.61250e+002	1.29446e-001	-1.79950e+002	
 1.62500e+002	1.28852e-001	-1.79976e+002	
 1.63750e+002	1.28459e-001	-1.79981e+002	
 1.65000e+002	1.27931e-001	-1.79919e+002	
 1.66250e+002	1.27409e-001	-1.79878e+002	
 1.67500e+002	1.27110e-001	-1.79904e+002	
 1.68750e+002	1.26691e-001	-1.79897e+002	
 1.70000e+002	1.26405e-001	-1.79869e+002	
 1.71250e+002	1.26118e-001	-1.79949e+002	
 1.72500e+002	1.25715e-001	-1.79897e+002	
 1.73750e+002	1.25546e-001	-1.80015e+002	
 1.75000e+002	1.25303e-001	-1.80097e+002	
 1.76250e+002	1.25069e-001	-1.80133e+002	
 1.77500e+002	1.24766e-001	-1.80222e+002	
 1.78750e+002	1.24501e-001	-1.80377e+002	
 1.80000e+002	1.24348e-001	-1.80493e+002	
 1.81250e+002	1.23886e-001	-1.80613e+002	
 1.82500e+002	1.23773e-001	-1.80732e+002	
 1.83750e+002	1.23350e-001	-1.80889e+002	
 1.85000e+002	1.22966e-001	-1.81096e+002	
 1.86250e+002	1.22508e-001	-1.81249e+002	
 1.87500e+002	1.22096e-001	-1.81344e+002	
 1.88750e+002	1.21462e-001	-1.81542e+002	
 1.90000e+002	1.21111e-001	-1.81723e+002	
 1.91250e+002	1.20461e-001	-1.81811e+002	
 1.92500e+002	1.19888e-001	-1.81898e+002	
 1.93750e+002	1.19407e-001	-1.82028e+002	
 1.95000e+002	1.18828e-001	-1.82082e+002	
 1.96250e+002	1.18077e-001	-1.82136e+002	
 1.97500e+002	1.17593e-001	-1.82232e+002	
 1.98750e+002	1.16904e-001	-1.82190e+002	
 2.00000e+002	1.16294e-001	-1.82240e+002	
 2.01250e+002	1.15734e-001	-1.82187e+002	
 2.02500e+002	1.15179e-001	-1.82165e+002	
 2.03750e+002	1.14766e-001	-1.82200e+002	
 2.05000e+002	1.14131e-001	-1.82123e+002	
 2.06250e+002	1.13748e-001	-1.82121e+002	
 2.07500e+002	1.13329e-001	-1.81985e+002	
 2.08750e+002	1.12773e-001	-1.81897e+002	
 2.10000e+002	1.12294e-001	-1.81869e+002	
 2.11250e+002	1.11825e-001	-1.81708e+002	
 2.12500e+002	1.11403e-001	-1.81687e+002	
 2.13750e+002	1.11120e-001	-1.81573e+002	
 2.15000e+002	1.10801e-001	-1.81513e+002	
 2.16250e+002	1.10459e-001	-1.81386e+002	
