Project Name	MedidasMartillo
Measurement Name	M5-GomaNegra
User Name	Default USER

Creation time	5/22/2016 15:4:1
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	1.01309e-002	 0.00000e+000	
 1.25000e+000	9.96640e-003	 9.99662e+001	
 2.50000e+000	4.70099e-003	 8.62422e+001	
 3.75000e+000	2.98683e-003	 8.53605e+001	
 5.00000e+000	2.28148e-003	 8.36027e+001	
 6.25000e+000	1.80049e-003	 8.04126e+001	
 7.50000e+000	1.51794e-003	 7.76858e+001	
 8.75000e+000	1.30823e-003	 7.35922e+001	
 1.00000e+001	1.17238e-003	 6.87021e+001	
 1.12500e+001	1.06622e-003	 6.46352e+001	
 1.25000e+001	9.35968e-004	 5.66054e+001	
 1.37500e+001	9.53153e-004	 5.26794e+001	
 1.50000e+001	9.14628e-004	 4.47715e+001	
 1.62500e+001	8.98839e-004	 3.97968e+001	
 1.75000e+001	9.28156e-004	 3.40368e+001	
 1.87500e+001	9.68448e-004	 2.80805e+001	
 2.00000e+001	1.05174e-003	 2.49796e+001	
 2.12500e+001	1.07827e-003	 2.04953e+001	
 2.25000e+001	1.16224e-003	 1.68424e+001	
 2.37500e+001	1.24448e-003	 1.48073e+001	
 2.50000e+001	1.35502e-003	 1.19148e+001	
 2.62500e+001	1.45472e-003	 9.98732e+000	
 2.75000e+001	1.57943e-003	 6.98351e+000	
 2.87500e+001	1.68838e-003	 6.00497e+000	
 3.00000e+001	1.82571e-003	 4.85938e+000	
 3.12500e+001	1.97152e-003	 3.66638e+000	
 3.25000e+001	2.11882e-003	 2.10854e+000	
 3.37500e+001	2.23296e-003	 1.43118e+000	
 3.50000e+001	2.41106e-003	 1.12407e+000	
 3.62500e+001	2.57343e-003	 5.32052e-001	
 3.75000e+001	2.74514e-003	 3.55672e-003	
 3.87500e+001	2.91744e-003	-1.11429e+000	
 4.00000e+001	3.09229e-003	-1.08144e+000	
 4.12500e+001	3.28662e-003	-1.58251e+000	
 4.25000e+001	3.50276e-003	-1.81878e+000	
 4.37500e+001	3.70065e-003	-2.63990e+000	
 4.50000e+001	3.90176e-003	-2.56335e+000	
 4.62500e+001	4.11858e-003	-3.04389e+000	
 4.75000e+001	4.33508e-003	-3.15112e+000	
 4.87500e+001	4.55094e-003	-3.19796e+000	
 5.00000e+001	4.80985e-003	-3.54194e+000	
 5.12500e+001	5.06072e-003	-3.85246e+000	
 5.25000e+001	5.33503e-003	-3.69106e+000	
 5.37500e+001	5.59135e-003	-3.88322e+000	
 5.50000e+001	5.85730e-003	-4.23306e+000	
 5.62500e+001	6.12559e-003	-4.35565e+000	
 5.75000e+001	6.42775e-003	-4.50104e+000	
 5.87500e+001	6.69786e-003	-4.96602e+000	
 6.00000e+001	6.98532e-003	-4.82605e+000	
 6.12500e+001	7.29858e-003	-4.95183e+000	
 6.25000e+001	7.63280e-003	-5.02209e+000	
 6.37500e+001	7.96018e-003	-5.17418e+000	
 6.50000e+001	8.26945e-003	-5.20420e+000	
 6.62500e+001	8.59798e-003	-5.49071e+000	
 6.75000e+001	8.92815e-003	-5.70018e+000	
 6.87500e+001	9.27506e-003	-5.75984e+000	
 7.00000e+001	9.65433e-003	-5.80625e+000	
 7.12500e+001	1.00291e-002	-5.94028e+000	
 7.25000e+001	1.04105e-002	-6.10560e+000	
 7.37500e+001	1.08107e-002	-6.19638e+000	
 7.50000e+001	1.11931e-002	-6.43448e+000	
 7.62500e+001	1.15945e-002	-6.49156e+000	
 7.75000e+001	1.19814e-002	-6.49191e+000	
 7.87500e+001	1.24347e-002	-6.61894e+000	
 8.00000e+001	1.28785e-002	-6.62832e+000	
 8.12500e+001	1.33276e-002	-6.69215e+000	
 8.25000e+001	1.37896e-002	-6.81549e+000	
 8.37500e+001	1.42350e-002	-6.85576e+000	
 8.50000e+001	1.47024e-002	-6.86934e+000	
 8.62500e+001	1.52145e-002	-7.00897e+000	
 8.75000e+001	1.57441e-002	-6.97831e+000	
 8.87500e+001	1.62422e-002	-7.11137e+000	
 9.00000e+001	1.67889e-002	-7.21278e+000	
 9.12500e+001	1.73421e-002	-7.34017e+000	
 9.25000e+001	1.78706e-002	-7.39317e+000	
 9.37500e+001	1.84818e-002	-7.51650e+000	
 9.50000e+001	1.90691e-002	-7.69192e+000	
 9.62500e+001	1.96778e-002	-7.79565e+000	
 9.75000e+001	2.02900e-002	-8.01860e+000	
 9.87500e+001	2.09060e-002	-8.22787e+000	
 1.00000e+002	2.15159e-002	-8.28399e+000	
 1.01250e+002	2.21616e-002	-8.41736e+000	
 1.02500e+002	2.28338e-002	-8.49554e+000	
 1.03750e+002	2.35075e-002	-8.69082e+000	
 1.05000e+002	2.42734e-002	-8.75282e+000	
 1.06250e+002	2.49839e-002	-8.92139e+000	
 1.07500e+002	2.57458e-002	-9.11624e+000	
 1.08750e+002	2.64722e-002	-9.21948e+000	
 1.10000e+002	2.72374e-002	-9.44670e+000	
 1.11250e+002	2.80743e-002	-9.64093e+000	
 1.12500e+002	2.89115e-002	-9.86433e+000	
 1.13750e+002	2.97169e-002	-9.98300e+000	
 1.15000e+002	3.05774e-002	-1.01931e+001	
 1.16250e+002	3.14412e-002	-1.03945e+001	
 1.17500e+002	3.23519e-002	-1.06221e+001	
 1.18750e+002	3.33161e-002	-1.08532e+001	
 1.20000e+002	3.42780e-002	-1.10406e+001	
 1.21250e+002	3.52426e-002	-1.13706e+001	
 1.22500e+002	3.62050e-002	-1.15667e+001	
 1.23750e+002	3.72079e-002	-1.19260e+001	
 1.25000e+002	3.82501e-002	-1.22566e+001	
 1.26250e+002	3.92796e-002	-1.25775e+001	
 1.27500e+002	4.03182e-002	-1.29386e+001	
 1.28750e+002	4.13661e-002	-1.32082e+001	
 1.30000e+002	4.24472e-002	-1.34535e+001	
 1.31250e+002	4.35407e-002	-1.38189e+001	
 1.32500e+002	4.47802e-002	-1.40113e+001	
 1.33750e+002	4.59492e-002	-1.43543e+001	
 1.35000e+002	4.71679e-002	-1.47468e+001	
 1.36250e+002	4.84613e-002	-1.50976e+001	
 1.37500e+002	4.97653e-002	-1.54458e+001	
 1.38750e+002	5.10725e-002	-1.58052e+001	
 1.40000e+002	5.24592e-002	-1.62499e+001	
 1.41250e+002	5.38230e-002	-1.66991e+001	
 1.42500e+002	5.52425e-002	-1.71381e+001	
 1.43750e+002	5.66136e-002	-1.75785e+001	
 1.45000e+002	5.80985e-002	-1.81373e+001	
 1.46250e+002	5.95402e-002	-1.86204e+001	
 1.47500e+002	6.09636e-002	-1.91481e+001	
 1.48750e+002	6.24074e-002	-1.97037e+001	
 1.50000e+002	6.39319e-002	-2.01949e+001	
 1.51250e+002	6.54381e-002	-2.07630e+001	
 1.52500e+002	6.70184e-002	-2.12371e+001	
 1.53750e+002	6.86363e-002	-2.18294e+001	
 1.55000e+002	7.02493e-002	-2.23927e+001	
 1.56250e+002	7.18416e-002	-2.29885e+001	
 1.57500e+002	7.35957e-002	-2.35754e+001	
 1.58750e+002	7.51496e-002	-2.41939e+001	
 1.60000e+002	7.69224e-002	-2.47538e+001	
 1.61250e+002	7.86639e-002	-2.54151e+001	
 1.62500e+002	8.03898e-002	-2.60987e+001	
 1.63750e+002	8.21679e-002	-2.67667e+001	
 1.65000e+002	8.38007e-002	-2.74844e+001	
 1.66250e+002	8.56293e-002	-2.81472e+001	
 1.67500e+002	8.72236e-002	-2.89629e+001	
 1.68750e+002	8.89272e-002	-2.97123e+001	
 1.70000e+002	9.06560e-002	-3.04480e+001	
 1.71250e+002	9.23783e-002	-3.11340e+001	
 1.72500e+002	9.40620e-002	-3.19153e+001	
 1.73750e+002	9.55626e-002	-3.25608e+001	
 1.75000e+002	9.72549e-002	-3.34136e+001	
 1.76250e+002	9.89821e-002	-3.40849e+001	
 1.77500e+002	1.00616e-001	-3.48590e+001	
 1.78750e+002	1.02276e-001	-3.55695e+001	
 1.80000e+002	1.03840e-001	-3.62997e+001	
 1.81250e+002	1.05436e-001	-3.70655e+001	
 1.82500e+002	1.06930e-001	-3.78627e+001	
 1.83750e+002	1.08479e-001	-3.85429e+001	
 1.85000e+002	1.09964e-001	-3.93506e+001	
 1.86250e+002	1.11572e-001	-3.98962e+001	
 1.87500e+002	1.12790e-001	-4.06754e+001	
 1.88750e+002	1.14299e-001	-4.14413e+001	
 1.90000e+002	1.15780e-001	-4.20232e+001	
 1.91250e+002	1.17171e-001	-4.27877e+001	
 1.92500e+002	1.18529e-001	-4.33696e+001	
 1.93750e+002	1.19902e-001	-4.40192e+001	
 1.95000e+002	1.21572e-001	-4.47349e+001	
 1.96250e+002	1.22444e-001	-4.52962e+001	
 1.97500e+002	1.23832e-001	-4.60079e+001	
 1.98750e+002	1.25023e-001	-4.64794e+001	
 2.00000e+002	1.26425e-001	-4.71254e+001	
 2.01250e+002	1.27415e-001	-4.76671e+001	
 2.02500e+002	1.28841e-001	-4.81964e+001	
 2.03750e+002	1.30172e-001	-4.86140e+001	
 2.05000e+002	1.31463e-001	-4.91416e+001	
 2.06250e+002	1.32663e-001	-4.95631e+001	
 2.07500e+002	1.34166e-001	-4.99139e+001	
 2.08750e+002	1.35474e-001	-5.04072e+001	
 2.10000e+002	1.36883e-001	-5.07569e+001	
 2.11250e+002	1.38255e-001	-5.13361e+001	
 2.12500e+002	1.39736e-001	-5.18385e+001	
 2.13750e+002	1.41562e-001	-5.22700e+001	
 2.15000e+002	1.42451e-001	-5.26777e+001	
 2.16250e+002	1.44257e-001	-5.33080e+001	
 2.17500e+002	1.45663e-001	-5.37152e+001	
 2.18750e+002	1.46724e-001	-5.39955e+001	
 2.20000e+002	1.48019e-001	-5.45261e+001	
 2.21250e+002	1.49176e-001	-5.48570e+001	
 2.22500e+002	1.50323e-001	-5.52173e+001	
 2.23750e+002	1.51498e-001	-5.56534e+001	
 2.25000e+002	1.52984e-001	-5.59668e+001	
 2.26250e+002	1.54161e-001	-5.62733e+001	
 2.27500e+002	1.55753e-001	-5.64129e+001	
 2.28750e+002	1.56686e-001	-5.67422e+001	
 2.30000e+002	1.58509e-001	-5.70587e+001	
 2.31250e+002	1.59863e-001	-5.72104e+001	
