Project Name	MedidasMartillo
Measurement Name	M6-Estiercol
User Name	Default USER

Creation time	5/22/2016 15:6:17
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 0.00000e+000	7.48698e-003	 0.00000e+000	
 1.25000e+000	8.03177e-003	 7.89997e+001	
 2.50000e+000	5.03479e-003	 4.03759e+001	
 3.75000e+000	6.45271e-003	 1.40808e+001	
 5.00000e+000	9.95093e-003	 3.09464e+000	
 6.25000e+000	1.51071e-002	-1.44663e+000	
 7.50000e+000	2.24548e-002	-5.09607e+000	
 8.75000e+000	3.20139e-002	-8.12715e+000	
 1.00000e+001	4.42814e-002	-1.05427e+001	
 1.12500e+001	6.14756e-002	-1.33090e+001	
 1.25000e+001	8.47508e-002	-1.60354e+001	
 1.37500e+001	1.21026e-001	-1.94866e+001	
 1.50000e+001	1.77599e-001	-2.88886e+001	
 1.62500e+001	2.53336e-001	-4.00778e+001	
 1.75000e+001	3.67334e-001	-5.72141e+001	
 1.87500e+001	5.08169e-001	-8.38571e+001	
 2.00000e+001	5.48835e-001	-1.22273e+002	
 2.12500e+001	3.63031e-001	-1.47862e+002	
 2.25000e+001	2.95678e-001	-1.51244e+002	
 2.37500e+001	2.55271e-001	-1.57793e+002	
 2.50000e+001	2.25265e-001	-1.60579e+002	
 2.62500e+001	2.07044e-001	-1.62794e+002	
 2.75000e+001	1.93663e-001	-1.64876e+002	
 2.87500e+001	1.83110e-001	-1.66516e+002	
 3.00000e+001	1.73895e-001	-1.68052e+002	
 3.12500e+001	1.67187e-001	-1.69187e+002	
 3.25000e+001	1.61361e-001	-1.70375e+002	
 3.37500e+001	1.55907e-001	-1.71398e+002	
 3.50000e+001	1.51747e-001	-1.72210e+002	
 3.62500e+001	1.47762e-001	-1.72975e+002	
 3.75000e+001	1.44359e-001	-1.73771e+002	
 3.87500e+001	1.40857e-001	-1.74512e+002	
 4.00000e+001	1.37680e-001	-1.74992e+002	
 4.12500e+001	1.35047e-001	-1.75289e+002	
 4.25000e+001	1.33201e-001	-1.75571e+002	
 4.37500e+001	1.31200e-001	-1.75753e+002	
 4.50000e+001	1.29589e-001	-1.76028e+002	
 4.62500e+001	1.28135e-001	-1.76282e+002	
 4.75000e+001	1.26623e-001	-1.76478e+002	
 4.87500e+001	1.25580e-001	-1.76740e+002	
 5.00000e+001	1.24365e-001	-1.77038e+002	
 5.12500e+001	1.23637e-001	-1.77127e+002	
 5.25000e+001	1.22844e-001	-1.77307e+002	
 5.37500e+001	1.22207e-001	-1.77598e+002	
 5.50000e+001	1.21194e-001	-1.77697e+002	
 5.62500e+001	1.20794e-001	-1.77935e+002	
 5.75000e+001	1.20141e-001	-1.78246e+002	
 5.87500e+001	1.19893e-001	-1.78624e+002	
 6.00000e+001	1.19288e-001	-1.79176e+002	
 6.12500e+001	1.18268e-001	-1.79704e+002	
 6.25000e+001	1.17175e-001	-1.80117e+002	
 6.37500e+001	1.15676e-001	-1.80479e+002	
 6.50000e+001	1.14083e-001	-1.80552e+002	
 6.62500e+001	1.12817e-001	-1.80312e+002	
 6.75000e+001	1.11882e-001	-1.80020e+002	
 6.87500e+001	1.11223e-001	-1.79892e+002	
 7.00000e+001	1.10882e-001	-1.79742e+002	
 7.12500e+001	1.10387e-001	-1.79520e+002	
 7.25000e+001	1.10151e-001	-1.79425e+002	
 7.37500e+001	1.09805e-001	-1.79360e+002	
 7.50000e+001	1.09662e-001	-1.79308e+002	
 7.62500e+001	1.09451e-001	-1.79223e+002	
 7.75000e+001	1.09236e-001	-1.79268e+002	
 7.87500e+001	1.09216e-001	-1.79146e+002	
 8.00000e+001	1.09034e-001	-1.79201e+002	
 8.12500e+001	1.08860e-001	-1.79217e+002	
 8.25000e+001	1.08813e-001	-1.79183e+002	
 8.37500e+001	1.08749e-001	-1.79266e+002	
 8.50000e+001	1.08424e-001	-1.79176e+002	
 8.62500e+001	1.08372e-001	-1.79248e+002	
 8.75000e+001	1.08346e-001	-1.79268e+002	
 8.87500e+001	1.08277e-001	-1.79310e+002	
 9.00000e+001	1.08111e-001	-1.79366e+002	
 9.12500e+001	1.08123e-001	-1.79388e+002	
 9.25000e+001	1.08047e-001	-1.79408e+002	
 9.37500e+001	1.07995e-001	-1.79435e+002	
 9.50000e+001	1.07958e-001	-1.79549e+002	
 9.62500e+001	1.07947e-001	-1.79556e+002	
 9.75000e+001	1.08003e-001	-1.79668e+002	
 9.87500e+001	1.07890e-001	-1.79756e+002	
