BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	133120 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
1.00322e-001	-4.26173e-006	
1.94167e-001	-1.89286e-003	
1.80815e-001	-3.23871e-004	
1.51757e-001	-9.34033e-004	
1.71389e-001	1.65189e-003	
2.03978e-001	3.24994e-003	
1.70208e-001	2.57237e-004	
1.34474e-001	-2.35775e-003	
1.85912e-001	-2.03814e-003	
1.32115e-001	-2.32869e-003	
1.80412e-001	2.28181e-004	
1.48997e-001	-2.38680e-003	
1.09337e-001	-1.98003e-003	
1.65094e-001	-3.52927e-004	
1.62344e-001	-1.63136e-003	
1.25432e-001	-1.95097e-003	
1.24646e-001	-3.02602e-003	
1.44670e-001	-2.70641e-003	
1.34459e-001	-9.14279e-005	
1.18359e-001	8.09288e-004	
1.29745e-001	4.31567e-004	
1.50947e-001	-5.56314e-004	
1.86286e-001	-2.35775e-003	
2.03169e-001	-9.04979e-004	
2.15340e-001	-2.94816e-004	
1.42696e-001	-3.52927e-004	
1.07748e-001	-1.63136e-003	
1.59970e-001	4.89678e-004	
1.11279e-001	-8.17813e-004	
1.05388e-001	-9.92144e-004	
1.93343e-001	-2.41586e-003	
1.14809e-001	-4.69148e-004	
7.31851e-002	3.44401e-004	
1.34832e-001	-3.33171e-005	
9.47789e-002	2.57237e-004	
1.61530e-001	1.30323e-003	
1.37184e-001	-6.72536e-004	
1.00272e-001	-1.71853e-003	
9.00616e-002	7.80232e-004	
3.43021e-002	-2.06719e-003	
9.63416e-002	-1.05025e-003	
1.17937e-001	-1.80569e-003	
1.25003e-001	-1.51514e-003	
1.84294e-001	-1.28270e-003	
2.03533e-001	-1.31175e-003	
1.16361e-001	-3.33171e-005	
1.38741e-001	2.86292e-004	
8.14109e-002	-1.19553e-003	
9.98648e-002	1.99126e-004	
1.31669e-001	-1.20483e-004	
9.43648e-002	1.41945e-003	
1.08499e-001	5.18734e-004	
1.21849e-001	-7.88758e-004	
1.07711e-001	-1.05025e-003	
1.34018e-001	-6.14425e-004	
9.31801e-002	4.60623e-004	
1.54434e-001	-1.19553e-003	
1.06135e-001	-2.27058e-003	
1.12417e-001	-6.43481e-004	
1.30085e-001	2.47937e-005	
9.71000e-002	1.36134e-003	
1.48538e-001	-6.23725e-005	
1.25762e-001	2.32017e-003	
6.13636e-002	-2.65760e-004	
9.67020e-002	-2.94816e-004	
1.07695e-001	-1.07931e-003	
1.88975e-001	-1.31175e-003	
2.51407e-001	2.84316e-003	
1.71303e-001	-1.10837e-003	
1.74835e-001	-1.25364e-003	
1.28500e-001	5.76844e-004	
3.85784e-002	-3.52927e-004	
1.44596e-001	3.73457e-004	
1.26140e-001	-5.85370e-004	
1.24568e-001	1.99126e-004	
1.69723e-001	-2.07650e-004	
1.37130e-001	-6.72536e-004	
9.86479e-002	5.38491e-005	
1.21814e-001	4.31567e-004	
9.31479e-002	1.56473e-003	
1.20240e-001	2.66883e-003	
1.38694e-001	1.44851e-003	
1.48117e-001	8.96454e-004	
1.41048e-001	1.62284e-003	
1.24947e-001	-2.61924e-003	
1.81096e-001	1.62284e-003	
2.08974e-001	1.70071e-004	
1.97978e-001	-8.46868e-004	
1.61459e-001	1.41945e-003	
1.59887e-001	-8.17813e-004	
1.50069e-001	3.16277e-003	
1.76769e-001	2.63978e-003	
1.75197e-001	1.82622e-003	
2.06609e-001	1.04173e-003	
1.85796e-001	8.67398e-004	
1.47707e-001	1.68095e-003	
1.61056e-001	-8.75924e-004	
1.62625e-001	-1.39892e-003	
7.50599e-002	8.29045e-005	
8.64458e-002	-1.71853e-003	
1.22177e-001	-2.65760e-004	
1.45735e-001	3.15348e-004	
1.73220e-001	-1.49539e-004	
1.63010e-001	-5.56314e-004	
2.13269e-001	-1.54420e-003	
1.60651e-001	-5.27259e-004	
1.82246e-001	-4.11037e-004	
1.53973e-001	2.66883e-003	
1.51223e-001	1.94245e-003	
1.59468e-001	1.70071e-004	
1.03316e-001	-2.65760e-004	
1.29230e-001	-1.16648e-003	
1.66532e-001	2.40733e-003	
1.85771e-001	2.20395e-003	
2.14434e-001	-9.34033e-004	
2.19145e-001	-3.52927e-004	
1.45715e-001	-4.26173e-006	
1.18227e-001	9.83620e-004	
1.43357e-001	-2.32869e-003	
1.09979e-001	2.23300e-003	
1.51600e-001	-1.31175e-003	
1.70446e-001	-3.20035e-003	
1.00158e-001	1.39040e-003	
1.65339e-001	1.99126e-004	
1.69264e-001	2.52355e-003	
1.62588e-001	-4.26173e-006	
2.22664e-001	-1.39892e-003	
1.37847e-001	-7.59702e-004	
1.46092e-001	1.21606e-003	
1.77504e-001	2.26206e-003	
2.14805e-001	-1.02120e-003	
2.20694e-001	4.60623e-004	
1.70039e-001	2.05867e-003	
1.71216e-001	1.24512e-003	
2.39145e-001	-1.74758e-003	
2.31290e-001	9.54565e-004	
2.16368e-001	2.14583e-003	
2.45031e-001	1.11960e-004	
1.84167e-001	6.34955e-004	
1.65318e-001	7.51177e-004	
2.26964e-001	1.65189e-003	
2.61517e-001	-1.83475e-003	
2.42668e-001	1.85528e-003	
1.74736e-001	6.64011e-004	
2.12038e-001	7.51177e-004	
2.61905e-001	3.15348e-004	
1.92795e-001	6.34955e-004	
2.24599e-001	-5.56314e-004	
2.05750e-001	5.76844e-004	
1.57844e-001	1.85528e-003	
1.38602e-001	1.70071e-004	
1.60589e-001	9.83620e-004	
1.23678e-001	-9.63088e-004	
1.25247e-001	2.28181e-004	
1.49591e-001	1.30323e-003	
1.36632e-001	-8.46868e-004	
1.86499e-001	-2.09625e-003	
1.81785e-001	5.18734e-004	
1.73538e-001	1.15795e-003	
1.13852e-001	1.15795e-003	
1.81781e-001	-1.51514e-003	
1.82958e-001	1.01268e-003	
1.00105e-001	1.44851e-003	
1.50364e-001	5.76844e-004	
1.74315e-001	1.99126e-004	
1.74314e-001	1.18701e-003	
1.92768e-001	6.64011e-004	
1.66851e-001	9.54565e-004	
1.65279e-001	-4.26173e-006	
1.19728e-001	-2.94816e-004	
1.08732e-001	-1.80569e-003	
1.42893e-001	1.01268e-003	
1.38180e-001	5.76844e-004	
1.80978e-001	3.44401e-004	
1.40140e-001	3.24994e-003	
8.71292e-002	-2.53208e-003	
1.59378e-001	-2.82263e-003	
2.07282e-001	-1.28270e-003	
1.50344e-001	-9.92144e-004	
1.44453e-001	-1.16648e-003	
1.93927e-001	2.52355e-003	
1.90784e-001	1.07079e-003	
1.49946e-001	-2.50302e-003	
2.08452e-001	2.23300e-003	
2.17089e-001	2.86292e-004	
2.51249e-001	1.21606e-003	
2.49284e-001	1.36134e-003	
3.05041e-001	8.09288e-004	
2.16691e-001	1.97150e-003	
1.78208e-001	2.57237e-004	
2.07264e-001	1.41945e-003	
1.59358e-001	-1.45703e-003	
1.18127e-001	-9.04979e-004	
1.68779e-001	-2.56113e-003	
1.65244e-001	-2.59019e-003	
1.21657e-001	-3.52927e-004	
1.84089e-001	-1.13742e-003	
1.61706e-001	-1.60231e-003	
1.67594e-001	-1.78594e-004	
1.44033e-001	2.72694e-003	
