BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	137216 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
2.44783e-001	-1.42070e-004	
2.46743e-001	-1.91445e-003	
1.73313e-001	1.71746e-003	
2.08649e-001	-4.03585e-004	
2.55766e-001	1.74651e-003	
2.64402e-001	-1.88542e-003	
2.11782e-001	1.36878e-003	
2.26308e-001	1.86271e-003	
2.18845e-001	2.44381e-003	
2.37690e-001	6.71430e-004	
2.17661e-001	2.12419e-003	
1.50513e-001	8.45751e-004	
2.22760e-001	1.60119e-003	
2.40034e-001	1.57212e-003	
2.67125e-001	2.79244e-003	
2.57699e-001	2.24039e-003	
1.95655e-001	-7.81376e-004	
2.35704e-001	-1.01382e-003	
1.54420e-001	-1.24627e-003	
1.73658e-001	-2.59541e-005	
1.52844e-001	7.29479e-004	
1.63050e-001	-1.42062e-003	
1.65011e-001	-4.32746e-004	
1.41841e-001	-1.42198e-004	
2.20370e-001	-3.28018e-003	
1.52437e-001	1.22339e-003	
1.77565e-001	-2.00176e-003	
1.92876e-001	-1.79838e-003	
1.93658e-001	2.32748e-003	
2.21142e-001	-4.61841e-004	
2.01506e-001	-4.03736e-004	
2.55298e-001	-1.18824e-003	
2.16421e-001	1.25241e-003	
2.28199e-001	1.54296e-003	
2.23091e-001	-2.58481e-004	
1.86571e-001	-1.10109e-003	
2.07379e-001	-6.07157e-004	
1.66932e-001	-6.07163e-004	
2.25043e-001	-8.68665e-004	
3.00432e-001	-1.50789e-003	
2.54095e-001	1.04898e-003	
1.95192e-001	2.29835e-003	
2.69403e-001	1.31046e-003	
1.92831e-001	1.65912e-003	
1.71624e-001	-1.53697e-003	
2.29343e-001	-3.16653e-004	
2.17168e-001	1.28139e-003	
2.19521e-001	2.06333e-004	
2.06560e-001	1.04893e-003	
1.87317e-001	1.97870e-003	
2.10088e-001	-7.52511e-004	
2.31289e-001	-8.42437e-005	
2.20685e-001	-1.36269e-003	
2.20682e-001	1.36851e-003	
1.84554e-001	-1.68231e-003	
2.07326e-001	2.61788e-003	
2.37165e-001	4.09670e-004	
2.83497e-001	7.58328e-004	
3.25902e-001	3.16992e-003	
2.76031e-001	9.32649e-004	
3.15687e-001	1.07792e-003	
2.60711e-001	-7.81627e-004	
2.39112e-001	-2.00196e-003	
2.74841e-001	-1.42422e-004	
2.10049e-001	-7.52589e-004	
2.58344e-001	8.16394e-004	
2.57556e-001	7.29222e-004	
2.30459e-001	-1.68238e-003	
2.76791e-001	9.90709e-004	
3.32546e-001	1.42653e-003	
3.32543e-001	-1.33373e-003	
2.75604e-001	1.94952e-003	
2.39869e-001	2.79212e-003	
2.41830e-001	2.79956e-006	
2.39471e-001	-2.11825e-003	
2.25332e-001	2.35232e-004	
2.05696e-001	1.62988e-003	
1.88416e-001	7.87271e-004	
2.38674e-001	3.54753e-003	
2.75189e-001	2.06154e-004	
2.65763e-001	7.58199e-004	
2.83430e-001	-1.65340e-003	
1.84868e-001	-2.46696e-003	
1.72693e-001	-4.33087e-004	
2.13527e-001	2.93292e-004	
2.30409e-001	2.73250e-006	
2.17448e-001	1.97849e-003	
2.18231e-001	-8.44449e-005	
2.65740e-001	2.23998e-003	
2.68093e-001	-1.42567e-004	
2.55918e-001	-1.59534e-003	
2.42957e-001	1.71697e-003	
2.83791e-001	1.97846e-003	
2.13895e-001	-1.36291e-003	
2.14677e-001	1.60073e-003	
1.93078e-001	3.22286e-004	
2.33519e-001	1.80410e-003	
2.96735e-001	2.29804e-003	
2.06420e-001	9.90542e-004	
2.56285e-001	2.03653e-003	
