BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	139264 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
2.44802e-001	5.55174e-003	
2.37340e-001	3.45968e-003	
1.65875e-001	6.56853e-003	
2.49511e-001	6.48129e-003	
1.48595e-001	5.87105e-003	
8.93019e-002	6.07437e-003	
1.58410e-001	3.72081e-003	
1.27388e-001	3.95318e-003	
1.54874e-001	5.20248e-003	
1.88641e-001	6.04501e-003	
1.70185e-001	6.45171e-003	
1.63116e-001	5.49281e-003	
1.88638e-001	9.12466e-003	
2.07878e-001	4.82439e-003	
2.11803e-001	5.60881e-003	
1.96881e-001	5.46346e-003	
1.80781e-001	6.56749e-003	
2.27507e-001	7.78774e-003	
1.73318e-001	5.37607e-003	
2.09835e-001	5.66655e-003	
2.02373e-001	3.80693e-003	
2.16115e-001	4.62041e-003	
2.11009e-001	6.10216e-003	
1.64674e-001	4.91081e-003	
1.81165e-001	8.71699e-003	
2.04331e-001	7.69998e-003	
1.95691e-001	8.92023e-003	
1.49356e-001	5.49162e-003	
1.73700e-001	8.62953e-003	
1.97651e-001	9.90789e-003	
1.69378e-001	5.60762e-003	
1.61917e-001	5.57849e-003	
2.07465e-001	4.29998e-003	
2.08249e-001	5.14251e-003	
2.11782e-001	6.53709e-003	
2.05105e-001	5.49103e-003	
2.08246e-001	5.95584e-003	
2.05889e-001	4.44488e-003	
1.75260e-001	5.69419e-003	
1.93714e-001	6.21711e-003	
1.48557e-001	6.42042e-003	
1.42273e-001	4.85136e-003	
1.52088e-001	5.69389e-003	
1.69365e-001	4.93838e-003	
1.35202e-001	6.21674e-003	
2.24728e-001	6.44911e-003	
2.09413e-001	4.53138e-003	
1.87030e-001	6.76857e-003	
1.66611e-001	5.17045e-003	
2.02734e-001	3.51422e-003	
2.02341e-001	7.14606e-003	
2.00376e-001	3.65935e-003	
2.15689e-001	5.19921e-003	
2.61630e-001	5.60591e-003	
2.21184e-001	4.00779e-003	
2.22361e-001	4.67598e-003	
2.00371e-001	4.55969e-003	
2.21966e-001	4.21095e-003	
2.47881e-001	4.96631e-003	
1.78771e-001	4.67569e-003	
1.71310e-001	2.99040e-003	
2.00366e-001	4.47215e-003	
2.34134e-001	4.93696e-003	
2.48268e-001	3.74562e-003	
2.21959e-001	7.17407e-003	
2.02717e-001	4.93674e-003	
1.95256e-001	5.19816e-003	
2.16066e-001	2.35066e-003	
2.42373e-001	7.34811e-003	
2.00357e-001	5.48849e-003	
2.18811e-001	2.00177e-003	
2.21166e-001	3.45447e-003	
2.08207e-001	7.23159e-003	
1.68940e-001	5.19764e-003	
1.87001e-001	6.38884e-003	
2.21554e-001	5.16844e-003	
1.99957e-001	6.06908e-003	
1.75218e-001	4.12229e-003	
2.33724e-001	4.23844e-003	
2.40398e-001	5.98169e-003	
1.94063e-001	6.01067e-003	
1.99166e-001	5.57476e-003	
2.34897e-001	4.73208e-003	
2.44713e-001	5.05162e-003	
1.94451e-001	4.41233e-003	
2.27826e-001	5.10958e-003	
2.85547e-001	5.71967e-003	
1.73244e-001	5.54526e-003	
1.66175e-001	4.41203e-003	
2.05048e-001	2.37808e-003	
1.86984e-001	6.30048e-003	
2.10150e-001	6.76529e-003	
1.24941e-001	6.03883e-003	
1.83054e-001	9.20579e-003	
2.40775e-001	4.52780e-003	
1.99151e-001	4.67300e-003	
1.11193e-001	6.47436e-003	
1.49673e-001	8.13044e-003	
1.90117e-001	5.80594e-003	
1.58310e-001	5.66059e-003	
2.19172e-001	6.41595e-003	
1.39853e-001	3.97523e-003	
1.80688e-001	4.84682e-003	
2.28592e-001	7.11306e-003	
2.55292e-001	5.86360e-003	
2.16810e-001	3.91682e-003	
1.96783e-001	7.86828e-003	
1.97175e-001	4.81739e-003	
2.28980e-001	4.23621e-003	
1.75184e-001	4.67196e-003	
1.54764e-001	3.01573e-003	
1.78715e-001	2.98660e-003	
1.41411e-001	3.71291e-003	
2.36828e-001	5.92104e-003	
2.17193e-001	7.95485e-003	
1.64575e-001	5.54318e-003	
1.28057e-001	5.89176e-003	
1.24521e-001	6.09508e-003	
1.50436e-001	4.52601e-003	
9.54622e-002	7.60581e-003	
2.00302e-001	7.51857e-003	
2.18364e-001	7.02455e-003	
2.33284e-001	7.16975e-003	
2.67445e-001	5.86219e-003	
2.28177e-001	1.32948e-003	
2.62338e-001	5.48432e-003	
2.08542e-001	5.51330e-003	
2.06577e-001	5.19362e-003	
2.10503e-001	5.22260e-003	
1.65346e-001	3.53731e-003	
1.54350e-001	8.62193e-003	
1.89689e-001	7.54680e-003	
1.42175e-001	7.48862e-003	
2.10498e-001	3.88568e-003	
2.00287e-001	5.94853e-003	
1.39031e-001	5.22208e-003	
1.75940e-001	5.07673e-003	
2.12849e-001	5.86114e-003	
1.82220e-001	6.00635e-003	
1.64157e-001	1.64797e-003	
1.85752e-001	6.58731e-003	
2.08918e-001	4.64052e-003	
2.42294e-001	4.40801e-003	
1.82215e-001	5.39581e-003	
2.04203e-001	5.88968e-003	
1.95956e-001	7.72009e-003	
1.65720e-001	6.73214e-003	
1.95561e-001	6.35434e-003	
1.53153e-001	4.87244e-003	
1.53544e-001	4.26221e-003	
1.92024e-001	2.60598e-003	
2.08122e-001	6.47026e-003	
2.06551e-001	4.17482e-003	
1.95162e-001	5.27885e-003	
1.54717e-001	5.22066e-003	
1.56286e-001	3.79687e-003	
1.78667e-001	7.89361e-003	
1.93195e-001	7.19620e-003	
1.94764e-001	6.06297e-003	
1.80235e-001	6.00478e-003	
1.60208e-001	6.26621e-003	
1.60992e-001	1.61728e-003	
1.53138e-001	5.83023e-003	
1.83372e-001	6.26598e-003	
2.01826e-001	3.99959e-003	
1.85725e-001	5.42323e-003	
1.53919e-001	6.70159e-003	
1.04442e-001	3.33109e-003	
1.53131e-001	3.50535e-003	
9.03040e-002	4.87088e-003	
1.60197e-001	4.89986e-003	
1.84148e-001	4.43490e-003	
1.33886e-001	4.37672e-003	
1.35849e-001	2.22654e-003	
1.62549e-001	6.00366e-003	
2.04955e-001	4.14405e-003	
1.57835e-001	4.63791e-003	
1.28384e-001	6.17777e-003	
6.86978e-002	2.80728e-003	
-3.55333e-003	1.18010e-003	
6.94810e-002	6.09038e-003	
1.59793e-001	4.28888e-003	
1.66467e-001	4.14353e-003	
1.40943e-001	8.61798e-003	
8.83246e-002	5.91575e-003	
1.37799e-001	6.29340e-003	
1.92378e-001	3.35873e-003	
1.39368e-001	3.73638e-003	
1.18163e-001	6.06073e-003	
1.67637e-001	3.06796e-003	
1.29940e-001	4.43348e-003	
1.18552e-001	2.95159e-003	
1.05200e-001	5.50838e-003	
1.42502e-001	7.01919e-003	
1.32292e-001	7.51305e-003	
1.50354e-001	4.75272e-003	
1.33468e-001	5.33375e-003	
1.10692e-001	5.56612e-003	
1.38963e-001	4.20045e-003	
1.55061e-001	5.33353e-003	
1.46814e-001	4.43274e-003	
1.37782e-001	6.00165e-003	
1.80581e-001	3.64809e-003	
1.54664e-001	4.43251e-003	
1.57019e-001	3.99661e-003	
1.19715e-001	4.72292e-003	
1.14217e-001	6.61144e-003	
1.84895e-001	6.93098e-003	
1.24031e-001	3.73481e-003	
1.35417e-001	6.98894e-003	
1.60939e-001	6.43681e-003	
1.52300e-001	5.10019e-003	
1.72717e-001	5.91367e-003	
1.77428e-001	4.86760e-003	
2.08447e-001	6.75613e-003	
2.26116e-001	4.57690e-003	
2.11194e-001	4.69304e-003	
2.30041e-001	6.81401e-003	
2.38286e-001	6.00039e-003	
2.32787e-001	5.44826e-003	
2.09619e-001	9.08011e-003	
2.09225e-001	7.65632e-003	
1.86450e-001	6.20348e-003	
1.96265e-001	7.01695e-003	
1.93908e-001	6.26144e-003	
1.22835e-001	5.24443e-003	
1.70739e-001	6.60995e-003	
1.74664e-001	6.84232e-003	
2.02150e-001	6.11586e-003	
2.21782e-001	4.19814e-003	
1.35787e-001	5.82516e-003	
1.60917e-001	6.72580e-003	
1.78586e-001	4.95335e-003	
1.67590e-001	6.14455e-003	
