BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	108800 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
-2.71599e-001	6.60188e-003	
-2.54319e-001	6.10787e-003	
-2.35469e-001	5.99158e-003	
-2.96722e-001	6.71789e-003	
-2.60594e-001	5.49750e-003	
-3.16743e-001	7.56036e-003	
-3.27735e-001	7.67651e-003	
-2.99068e-001	6.25273e-003	
-3.08882e-001	4.56745e-003	
-3.17518e-001	6.04920e-003	
-3.83875e-001	5.99102e-003	
-3.37539e-001	4.79969e-003	
-3.26149e-001	7.70515e-003	
-3.40675e-001	6.97870e-003	
-3.22217e-001	6.71713e-003	
-3.46952e-001	7.12384e-003	
-2.64490e-001	1.00874e-002	
-3.01398e-001	6.51354e-003	
-3.15139e-001	5.87425e-003	
-3.08854e-001	6.60057e-003	
-3.41835e-001	5.69978e-003	
-3.09634e-001	7.03626e-003	
-3.68138e-001	6.25169e-003	
-3.79130e-001	6.77462e-003	
-3.57531e-001	6.89078e-003	
-3.60670e-001	6.04810e-003	
-3.37893e-001	4.65338e-003	
-2.98231e-001	6.07702e-003	
-3.36710e-001	6.04790e-003	
-3.15111e-001	7.00665e-003	
-3.61835e-001	7.93635e-003	
-3.59869e-001	6.33824e-003	
-3.85390e-001	6.10573e-003	
-3.41801e-001	6.42527e-003	
-3.47296e-001	6.16370e-003	
-3.79099e-001	5.72780e-003	
-3.68888e-001	7.81972e-003	
-3.89303e-001	3.89718e-003	
-3.50035e-001	8.45880e-003	
-3.14300e-001	9.12700e-003	
-2.69533e-001	5.52407e-003	
-2.96232e-001	4.39084e-003	
-3.19004e-001	6.16315e-003	
-3.77901e-001	7.15096e-003	
-3.50412e-001	6.33734e-003	
-3.33525e-001	6.07578e-003	
-2.95434e-001	3.75128e-003	
-2.64018e-001	5.23303e-003	
-3.20952e-001	4.18697e-003	
-3.73566e-001	3.66391e-003	
-3.44114e-001	3.95439e-003	
-2.96992e-001	8.19641e-003	
-2.69110e-001	5.46513e-003	
-2.40050e-001	3.92513e-003	
-3.06408e-001	6.27854e-003	
-3.48420e-001	4.76760e-003	
-2.94623e-001	2.21066e-003	
-3.81006e-001	5.26140e-003	
-3.23282e-001	3.83762e-003	
-3.17782e-001	4.88354e-003	
-3.13853e-001	6.94641e-003	
-3.08353e-001	7.12067e-003	
-3.51544e-001	6.10366e-003	
-2.74186e-001	4.56366e-003	
-3.07953e-001	5.40620e-003	
-2.70647e-001	6.68456e-003	
-3.13838e-001	7.87576e-003	
-3.42892e-001	6.65537e-003	
