BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	109311 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
1.52025e-001	8.74540e-004	
9.54814e-002	6.09942e-005	
1.24146e-001	-1.15933e-003	
1.46921e-001	-1.27554e-003	
1.60272e-001	1.48172e-004	
1.17079e-001	-1.21743e-003	
1.93256e-001	-1.01404e-003	
1.74801e-001	2.64404e-004	
1.42603e-001	2.82128e-003	
8.21332e-002	1.39757e-003	
1.46530e-001	-1.33363e-003	
1.34358e-001	-1.07213e-003	
1.16688e-001	-6.65348e-004	
1.72447e-001	9.61754e-004	
1.24542e-001	-1.68228e-003	
1.39464e-001	-2.58563e-004	
8.76326e-002	-1.24644e-003	
1.06088e-001	-1.39171e-003	
1.09230e-001	-7.81547e-004	
1.04911e-001	-3.33842e-003	
6.21106e-002	9.90836e-004	
4.09071e-002	3.80678e-004	
4.16927e-002	-2.05997e-003	
1.08053e-001	-6.65307e-004	
1.43393e-001	4.38800e-004	
1.65383e-001	-5.51380e-005	
1.01771e-001	5.25974e-004	
3.89456e-002	7.29365e-004	
2.42817e-003	-1.71128e-003	
2.59883e-002	7.00317e-004	
2.55959e-002	-4.61893e-004	
4.20881e-002	-2.14710e-003	
3.10938e-002	2.64704e-003	
6.68265e-002	-1.30449e-003	
6.35660e-003	7.87502e-004	
2.79534e-002	5.84118e-004	
1.85298e-002	1.13617e-003	
-2.28107e-003	3.22816e-003	
5.96511e-003	1.36862e-003	
8.72468e-002	1.42674e-003	
1.15126e-001	-8.41375e-005	
8.33207e-002	1.31052e-003	
1.46933e-001	-1.71296e-004	
7.35047e-002	-1.04295e-003	
1.08845e-001	9.03759e-004	
5.89768e-002	7.87543e-004	
6.48670e-002	1.48328e-004	
9.74584e-002	-6.94273e-004	
4.64124e-002	4.38889e-004	
1.02956e-001	5.26059e-004	
1.29265e-001	-7.52373e-004	
1.27302e-001	-8.97646e-004	
8.01827e-002	1.10718e-003	
8.96069e-002	4.97019e-004	
6.25134e-002	-1.30441e-003	
8.60735e-002	3.08454e-006	
1.16309e-001	1.13625e-003	
8.01842e-002	-7.23291e-004	
1.21807e-001	-1.79834e-003	
5.11277e-002	-4.32730e-004	
7.54731e-002	7.29488e-004	
4.48457e-002	-5.50039e-005	
7.90077e-002	1.31060e-003	
8.80392e-002	-1.13107e-004	
9.43222e-002	2.93672e-004	
6.13387e-002	2.90866e-003	
3.46379e-002	-7.23258e-004	
5.50567e-002	-1.76925e-003	
9.98206e-002	2.15323e-003	
1.14742e-001	1.16535e-003	
1.39088e-001	-4.32689e-004	
1.17099e-001	-9.84738e-004	
1.24560e-001	3.14787e-006	
1.31235e-001	-2.52466e-003	
1.54795e-001	1.33970e-003	
1.19063e-001	3.22830e-003	
1.58330e-001	8.45769e-004	
1.21420e-001	-1.44960e-003	
1.03750e-001	2.93724e-004	
2.02309e-001	-2.58815e-005	
1.26133e-001	-1.71155e-004	
1.77572e-001	-5.77925e-004	
1.45374e-001	3.05400e-003	
1.33202e-001	3.34456e-003	
1.79929e-001	-1.04280e-003	
1.72861e-001	-2.98950e-003	
1.48516e-001	1.63030e-003	
1.23779e-001	-1.01373e-003	
1.43805e-001	-8.68453e-004	
9.70783e-002	2.64710e-004	
1.01005e-001	3.22824e-004	
7.11631e-002	1.04921e-003	
1.09644e-001	-5.77884e-004	
9.51161e-002	1.04922e-003	
1.29671e-001	-3.16380e-004	
9.86507e-002	-1.07181e-003	
1.04148e-001	-6.35980e-004	
1.12395e-001	1.07829e-003	
1.26531e-001	2.15334e-003	
8.72647e-002	4.68135e-004	
9.55109e-002	-1.79818e-003	
6.99880e-002	4.97198e-004	
5.54598e-002	-2.52456e-003	
8.09832e-002	1.65942e-003	
6.60623e-002	4.39098e-004	
1.37920e-001	1.19454e-003	
9.00154e-002	1.02021e-003	
4.13254e-002	-5.48773e-004	
7.50948e-002	-5.48769e-004	
6.92051e-002	3.05410e-003	
5.50695e-002	1.74661e-003	
5.31065e-002	-8.39312e-004	
1.12399e-001	2.15339e-003	
5.38924e-002	6.14114e-005	
4.17202e-002	8.74965e-004	
6.25316e-002	1.07836e-003	
2.87629e-002	1.48589e-004	
3.26898e-002	1.36892e-003	
1.00228e-001	1.71759e-003	
6.99934e-002	4.68209e-004	
5.89992e-002	-4.61558e-004	
9.55171e-002	-1.33322e-003	
8.88422e-002	-2.29109e-004	
1.05727e-001	3.22947e-004	
1.06513e-001	-1.59470e-003	
7.62778e-002	-2.00043e-004	
9.27700e-002	1.13651e-003	
4.40800e-002	1.22368e-003	
6.09649e-002	4.10132e-004	
2.64108e-002	-5.77746e-004	
4.36882e-002	8.16915e-004	
6.84263e-002	1.77700e-004	
8.05992e-002	4.68258e-004	
8.80601e-002	-1.53656e-003	
4.17261e-002	-5.47320e-005	
9.35580e-002	1.16560e-003	
5.35066e-002	-1.01355e-003	
1.07694e-001	-5.19605e-004	
2.87694e-002	2.06782e-004	
-4.60666e-003	-1.10071e-003	
6.13611e-002	-8.68259e-004	
6.13614e-002	1.07845e-003	
4.80111e-002	-1.01353e-003	
9.08117e-002	2.03729e-003	
7.17473e-003	1.89202e-003	
3.26982e-002	-1.97234e-003	
7.96062e-003	6.13587e-004	
1.00237e-001	-2.96022e-003	
8.45306e-002	1.57242e-003	
5.62591e-002	1.19656e-004	
6.88247e-002	-3.74282e-004	
3.89825e-002	2.41504e-003	
7.51079e-002	-1.62365e-003	
8.37468e-002	1.48727e-004	
5.42973e-002	-2.52436e-003	
4.25177e-002	2.64749e-003	
3.70207e-002	-1.70872e-004	
5.86175e-002	2.24073e-003	
3.74140e-002	5.26465e-004	
5.23355e-002	-3.54128e-003	
6.09744e-002	-2.28968e-004	
2.40643e-002	-2.61150e-003	
4.99804e-002	-4.03291e-004	
6.96139e-002	-3.16123e-004	
8.57134e-002	2.12453e-003	
6.64732e-002	-1.07155e-003	
1.04954e-001	8.17049e-004	
1.24195e-001	1.19477e-003	
1.16342e-001	-1.12965e-003	
9.51388e-002	3.50922e-006	
5.62654e-002	3.81233e-004	
9.67100e-002	-1.36209e-003	
1.01030e-001	-2.66957e-003	
7.55068e-002	1.28196e-003	
1.58752e-001	-1.73979e-003	
1.68961e-001	-3.83178e-003	
8.17903e-002	-1.44923e-003	
8.68952e-002	-2.32089e-003	
